Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
The Zero Squash Club 5,22,20,2,111,0,2,0,5,91,19
Head Shatin 7,22,19,3,108,0,2,0,1,89,21
That's 5,22,19,3,108,0,2,0,1,89,21
Hong Kong Football Club 19,21,14,7,87,0,11,0,2,73,32
Hong Kong Cricket Club Junior 3,22,14,8,72,0,2,1,1,66,43
i-Mask Advance Squash Club 16,21,10,11,49,10,3,0,0,46,59
KYS 2,22,8,14,49,0,1,0,3,44,66
HDSC 1,21,6,15,48,0,0,0,3,42,63
RELAY 3,22,7,15,46,1,11,1,2,40,70
Friend Club 10,20,9,11,41,3,2,3,4,37,63
Dr. Squash 4,19,1,18,9,16,2,0,0,9,86
Dr. Squash 5,22,1,21,-18,8,0,17,0,13,96
