Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Alpha CUHK MASTER,16,15,1,79,0,6,0,0,64,16
Perrier Serigo Tacchini KCC M4,16,12,4,69,0,0,0,0,58,22
Gloma,16,12,4,65,0,0,0,0,53,27
WAKO Senior,16,10,6,61,0,0,0,0,51,29
Hong Kong Cricket Club Young Masters,16,11,5,59,0,1,0,0,49,31
Hong Kong Football Club M4,15,4,11,29,0,0,0,2,25,50
Royal Hong Kong Yacht Club M4,16,3,13,28,0,0,1,0,27,53
Bolton,15,2,13,18,2,0,0,0,16,59
Hong Kong Club Blue,16,2,14,13,5,0,1,0,12,68
