Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Hong Kong Football Club L1,16,12,4,48,0,0,0,2,36,12
Young Player L1A,16,11,5,39,0,1,0,5,28,20
Perrier Serigo Tacchini KCC L1A,16,8,8,33,1,0,1,3,27,21
Young Player L1B,16,7,9,25,0,0,4,2,22,26
Perrier Serigo Tacchini KCC L1B,16,2,14,2,0,0,7,0,7,41
