Team,Most Games,Most Wins,Highest Win Percentage
8 Virtues + 1,Tin Charlotte Pui Lam (11),Tin Charlotte Pui Lam (10),Tin Charlotte Pui Lam (90.9%)
Fusion Squash Club 4,"Liu Riley, Wang Philbert (8)","Mei Tianle Arthur, Li Asher, Cheung Cheuk Yin Nathan (1)",Cheung Cheuk Yin Nathan (20.0%)
Hong Kong Football Club 14,Wan Damien (11),Han Julian O (7),Soo Ting He Nico (100.0%)
Ladies Recreation Club Div 14,Chen Peak Julian (11),Chen Peak Julian (5),Chen Peak Julian (45.5%)
North District Sports Association 2,Fung Yau On (11),Fung Yau On (8),Lee Man Lok Raymond (100.0%)
Physical Chess 5,Chan Chun Ho (8),Tin Nok Lam (7),Tin Nok Lam (100.0%)
RELAY 2,Cheng Nic (9),"Cheng Tsz Long, Chung Yui On Jake (6)","Cheng Tsz Long, Chung Yui On Jake (85.7%)"
Royal Hong Kong Yacht Club Div 14,Lai Ming Wah (10),Oei Chuen Shek Joseph (7),Ho Wai Keung (100.0%)
Squash-On,Lau Hayden (11),"Huang Xin Min, Lau Hayden (4)",Huang Xin Min (66.7%)
TKO Junior 1,Lee Man Yu (10),Jong Kwok Wai (8),Jong Kwok Wai (88.9%)
TNG 3,Ho Yiu Hei (9),"Kwan Yui Tang, Ho Yiu Hei (5)",Chiu Yuet Yi (80.0%)
The Squash Club 4,Chung Tsam Yee (11),Chung Tsam Yee (11),"Chung Tsam Yee, Ngan Joan (100.0%)"
