Team,Most Games,Most Wins,Highest Win Percentage
Bolton,Wright Martin (10),"Li Wilson Wai Shun, Wright Martin (4)",Li Wilson Wai Shun (80.0%)
Hong Kong Club Blue,"Brien Peter Wilhelm Hubert, McLennan Justin (7)",McLennan Justin (3),McLennan Justin (42.9%)
Hong Kong Cricket Club M4,Poole-Wilson Michael (11),Poole-Wilson Michael (7),Poole-Wilson Michael (63.6%)
Hong Kong Football Club M4A,"Au Siu Fai, Chow Kar Wah, Ford Anthony, Otero Somoza Juan Angel, Chan Christine Yik Tat, Murray David (8)",Chan Christine Yik Tat (7),Chan Christine Yik Tat (87.5%)
Hong Kong Football Club M4B,"Dansanghani Rahul, Ho Kwan Lun (8)",Dansanghani Rahul (7),Dansanghani Rahul (87.5%)
Kowloon Cricket Club M4,Tsang Wai Kit Paul (10),Choy Yuk Kwong Donnie (8),Choy Yuk Kwong Donnie (88.9%)
Royal Hong Kong Yacht Club M4,Leung Chi Wang Christopher (9),"Leung Chi Wang Christopher, Tse Ray, Adams David, Oei Chuen Shek Joseph, Ho Wai Keung (2)",Ho Wai Keung (40.0%)
SKCSC M4,Mong Hoi Ching Norman (12),Mong Hoi Ching Norman (10),"Kan Ken Chun Kit, Tam Rony Kwok Ki (100.0%)"
United Services Recreation Club M4,"Lai Kwok Wai Wilfred, Yu Chi Keung (12)","Lai Kwok Wai Wilfred, Yam Ken Luen Kai, Chu Lap Sun (5)",Yam Ken Luen Kai (83.3%)
WAKO,Yiu Sai Ngoi (11),Mok Sui Kei (9),"Mok Sui Kei, Gaffney Noel Patrick (100.0%)"
