Team Name,Home,Average Home Score,Average Away Score,home_away_diff
TNG 2,Cornwall Street Squash Centre,4.333333333333333,3.0,1.333333333333333
Arctic Circle,Cornwall Street Squash Centre,3.5,3.1666666666666665,0.3333333333333335
M&M Squash,Cornwall Street Squash Centre,1.5714285714285714,1.4,0.17142857142857149
Star River 3,Cornwall Street Squash Centre,1.5,1.3333333333333333,0.16666666666666674
North District Sports Association 2,Cornwall Street Squash Centre,2.7142857142857144,2.6666666666666665,0.047619047619047894
Royal Hong Kong Yacht Club Div 13,Royal Hong Kong Yacht Club,3.4,3.4545454545454546,-0.054545454545454675
Squashathon PLZ,Cornwall Street Squash Centre,2.5,2.6,-0.10000000000000009
Physical Chess 4,Cornwall Street Squash Centre,1.25,1.6,-0.3500000000000001
Vitality Squash 3,HK Squash Centre,1.1818181818181819,1.5714285714285714,-0.3896103896103895
TNG 1,Cornwall Street Squash Centre,3.5,4.0,-0.5
Greenfield,Cornwall Street Squash Centre,3.0,4.0,-1.0
Bravo D13,Cornwall Street Squash Centre,1.5714285714285714,2.75,-1.1785714285714286
