Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
X-Alpha 3,9,7,2,38,32,13
UST,9,6,3,31,25,20
Hong Kong Football Club 7A,9,5,4,28,23,22
The Best Group 1,9,3,6,22,19,26
Hong Kong Cricket Club 5,8,3,5,21,18,22
Kinetic 1,8,2,6,20,18,22
Vitality Squash 1,8,4,4,19,15,25
