Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
X-Alpha 1,21,18,3,102,84,21
Kowloon Cricket Club 4,21,16,5,87,71,34
Hong Kong Football Club 4B,21,14,7,79,65,40
Hong Kong Football Club 4A,21,14,7,77,63,42
United Services Recreation Club 1,21,9,12,62,53,52
NEXUS 2,21,6,15,41,35,70
Hong Kong Cricket Club 3,21,4,17,35,31,74
Sha Tin 2,21,3,18,21,18,87
