Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Dynamos Squash,21,20,1,106,86,16
Fusion Squash Club 1,21,13,8,69,56,49
X-Alpha 4,21,12,9,66,54,51
NEXUS 3,21,9,12,58,49,56
Happy Squash 3,21,10,11,57,48,57
Vitality Squash 2,21,8,13,52,45,58
MERCURY,21,7,14,46,40,65
LONGVIEW,21,5,16,44,39,65
