Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club 5A,10,10,0,50,40,10,0,1,0,0
X-Alpha 2,10,8,2,41,33,17,0,1,0,0
Physical Chess 1,10,8,2,38,30,20,0,3,0,0
Hong Kong Racketlon Association 1,10,6,4,34,28,22,0,0,0,0
Happy Squash 2,10,5,5,30,25,25,2,3,0,0
Uncle,10,4,6,28,24,26,0,1,0,1
The Squash Club 1,10,3,7,25,22,28,0,1,0,0
Squashathon,10,4,6,24,21,29,0,2,1,0
Hong Kong Football Club 5B,10,2,8,20,18,32,7,0,0,0
i-Mask Advance Squash Club 1,10,0,10,9,9,41,3,0,0,0
