Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 6B,10,10,0,50,40,10,0,0,0,0
United Services Recreation Club 2,10,8,2,43,35,15,0,0,0,0
Hong Kong Cricket Club 4,10,6,4,33,27,23,0,0,0,0
Kowloon Cricket Club 6A,10,5,5,32,27,23,0,0,0,0
Hong Kong Football Club 6B,10,5,5,29,24,26,0,0,0,0
Hong Kong Football Club 6A,10,5,5,28,23,27,0,0,0,0
Hong Kong Football Club 6C,10,4,6,28,24,26,0,0,0,0
Global Squash 1,10,4,6,24,20,30,0,0,0,0
Friend Club 3,10,2,8,21,19,31,0,0,0,0
Social Squash Team,10,1,9,12,11,39,0,0,0,0
