Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
JESSICA L1,1,1,0,3,2,1,0,0,0,0
Kowloon Cricket Club L1A,1,1,0,3,2,1,0,0,0,0
Hong Kong Cricket Club L1,1,0,1,1,1,2,0,0,0,0
Kowloon Cricket Club L1B,1,0,1,1,1,2,0,0,0,0
